782140661,1
782140661,2
782140661,3
782140661,4
782140661,5
72227885,6
471200247,7
471200247,8
72227710,9
1558605525,10
1558605525,11
972263608,12
201615762,13
782140114,14
782140114,15
782140114,16
321125169,17
321125169,18
321125169,19
321125169,20
805317554,21
805317554,22
1861004486,23
735712123,24
425188361,25
142001740,26
596004478,27
596004478,28
71414339,29
312311354,30
312287941,31
312243022,32
609610570,33
609610570,34
609610570,35
316602051,36
316602051,37
743222008,38
66214750,39
787960756,40
743206061,41
1590520734,42
60934417,43
440237556,44
373272839,45
670031518,46
738206679,47
067976867X,48
679450785,48
1579550088,49
684843285,50
471358983,51
471358983,52
394739698,53
394739698,54
1586851322,55
1586851322,56
1586851357,57
156158648X,58
865659982,59
865659982,60
865659982,61
517576600,62
517576600,63
517576600,64
517576600,65
262024829,66
72294337,67
72294337,68
72315318,69
324107501,70
324107501,71
324107501,72
471363049,73
471363049,74
471363049,75
130323519,76
130323519,77
130323519,78
446527793,79
743206061,41
743244249,81
743467523,82
375703764,83
345452089,84
385504470,85
312276702,86
743457358,82
1880418568,82
1880418568,87
743455967,82
140077022,81
679722955,81
684848155,81
471286168,51
471288217,51
156006219,43
60540753,43
393318486,46
60958332,46
60958405,46
393319407,48
067463442X,48
446608955,79
446676098,79
446606812,79
262521415,92
262232197,93
324113641,93
471391123,94
130998516,95
1565924916,96
735712360,97
735712379,97
735713170,97
1558606432,98
72222743,99
345409469,100
375508325,100
345336895,100
671004107,100
345376595,100
316666343,101
316096199,101
038572179X,103
385494246,103
385494327,103
385494149,103
399149848,104
373218192,104
373218257,104
399149392,104
1561584029,105
1579902944,105
1561586196,106
61092177,107
60502935,107
61020656,107
60855925,107
61020648,107
61161721,107
